id,prompt_tokens,full_status,kvmanage_status,kv_elapsed_sec,kv_peak_memory_gb,kv_generated_tokens,kv_compress_calls,kv_kept_cache_tokens,kv_dropped_tokens_total,kv_merged_tokens_total,gpu_capacity_gb
oom_repeated_verdict_01,26329.0000,oom,ok,31.0300,20.6900,192.0000,59.0000,4096.0000,22425.0000,22425.0000,23.5200
oom_repeated_verdict_02,27059.0000,oom,ok,30.7400,20.7000,178.0000,56.0000,4096.0000,23139.0000,23139.0000,23.5200
oom_repeated_verdict_03,27789.0000,oom,ok,31.9800,20.7000,192.0000,60.0000,4096.0000,23885.0000,23885.0000,23.5200
oom_repeated_verdict_04,28519.0000,oom,ok,32.6400,20.7000,192.0000,60.0000,4096.0000,24615.0000,24615.0000,23.5200
oom_repeated_verdict_05,29249.0000,oom,ok,33.3600,20.7000,192.0000,61.0000,4096.0000,25345.0000,25345.0000,23.5200
oom_repeated_verdict_06,29979.0000,oom,ok,33.3500,20.7000,192.0000,61.0000,4096.0000,26075.0000,26075.0000,23.5200
oom_repeated_verdict_07,30709.0000,oom,ok,34.0800,20.7000,192.0000,61.0000,4096.0000,26805.0000,26805.0000,23.5200
oom_repeated_verdict_08,31439.0000,oom,ok,34.5900,20.7000,192.0000,62.0000,4096.0000,27535.0000,27535.0000,23.5200
oom_repeated_verdict_09,32169.0000,oom,ok,35.0400,20.7000,192.0000,62.0000,4096.0000,28265.0000,28265.0000,23.5200
oom_repeated_verdict_10,33349.0000,oom,ok,36.2800,20.7000,192.0000,63.0000,4096.0000,29445.0000,29445.0000,23.5200
oom_repeated_verdict_11,34089.0000,oom,ok,36.4100,20.7000,192.0000,63.0000,4096.0000,30185.0000,30185.0000,23.5200
oom_repeated_verdict_12,34829.0000,oom,ok,36.9100,20.7000,192.0000,64.0000,4096.0000,30925.0000,30925.0000,23.5200
oom_repeated_verdict_13,35569.0000,oom,ok,37.6000,20.7000,192.0000,64.0000,4096.0000,31665.0000,31665.0000,23.5200
oom_repeated_verdict_14,36309.0000,oom,ok,37.6800,20.7000,192.0000,64.0000,4096.0000,32405.0000,32405.0000,23.5200
oom_repeated_verdict_15,37049.0000,oom,ok,38.3800,20.7000,192.0000,65.0000,4096.0000,33145.0000,33145.0000,23.5200
oom_repeated_verdict_16,37789.0000,oom,ok,39.4000,20.7000,192.0000,65.0000,4096.0000,33885.0000,33885.0000,23.5200
oom_repeated_verdict_17,38529.0000,oom,ok,39.3200,20.7000,192.0000,65.0000,4096.0000,34625.0000,34625.0000,23.5200
oom_repeated_verdict_18,39269.0000,oom,ok,40.2100,20.7000,192.0000,66.0000,4096.0000,35365.0000,35365.0000,23.5200
oom_repeated_verdict_19,40009.0000,oom,ok,40.4700,20.7000,192.0000,66.0000,4096.0000,36105.0000,36105.0000,23.5200
oom_repeated_verdict_20,40749.0000,oom,ok,40.9400,20.7000,192.0000,66.0000,4096.0000,36845.0000,36845.0000,23.5200
