dataset,prompt_tokens,full_elapsed_sec,kvmanage_elapsed_sec,speedup
speed4,13047,6.0200,4.7300,1.2727
speed4,13240,7.1100,6.0400,1.1772
speed4,14047,6.5100,4.9900,1.3046
speed4,14296,6.6000,6.2200,1.0611
speed4,15047,6.5800,5.0400,1.3056
speed4,15352,6.7500,6.7000,1.0075
speed4,16047,6.9400,5.1100,1.3581
speed4,16408,7.1600,6.8700,1.0422
speed4,17047,7.2800,5.3200,1.3684
speed4,17191,6.8600,5.3800,1.2751
speed4,17464,7.2100,7.1000,1.0155
speed4,18047,7.2200,5.6300,1.2824
speed4,18207,7.2300,5.7800,1.2509
speed4,18520,7.8900,7.1200,1.1081
speed4,18666,8.0100,7.0300,1.1394
speed4,19047,7.7200,5.6300,1.3712
speed4,19223,7.8000,5.6700,1.3757
speed4,19576,8.1000,7.8700,1.0292
speed4,19738,8.4400,7.8600,1.0738
speed4,20047,8.0300,5.6200,1.4288
speed4,20239,8.1500,5.7900,1.4076
speed4,20632,8.3500,7.4900,1.1148
speed4,20810,8.5800,7.8200,1.0972
speed4,21047,8.5000,6.0800,1.3980
speed4,21255,8.2600,5.8000,1.4241
speed4,21688,8.9400,8.3500,1.0707
speed4,21882,8.5600,6.6800,1.2814
speed4,22047,8.4400,5.9500,1.4185
speed4,22145,8.4100,5.6500,1.4885
speed4,22271,8.7500,5.5900,1.5653
speed4,22744,9.0200,7.6700,1.1760
speed4,22820,8.7100,8.1000,1.0753
speed4,22954,8.9500,7.4100,1.2078
speed4,23047,9.0200,6.0500,1.4909
speed4,23161,8.9900,6.2300,1.4430
speed4,23287,7.2800,6.0900,1.1954
speed4,23800,9.3700,7.6600,1.2232
speed4,23892,9.4100,7.5700,1.2431
speed4,24026,9.5900,8.6100,1.1138
speed4,24047,7.5800,6.4300,1.1788
speed4,24177,9.5200,6.6300,1.4359
speed4,24303,7.6800,6.3700,1.2057
speed4,24856,9.6400,8.4300,1.1435
speed4,24964,9.2700,8.5000,1.0906
speed4,25047,9.6100,6.6100,1.4539
speed4,25098,9.1500,8.5800,1.0664
speed4,25193,7.7100,6.7000,1.1507
speed4,25319,7.8300,6.7600,1.1583
speed4,25912,10.3400,8.7200,1.1858
speed4,26036,10.0500,8.6800,1.1578
speed4,26047,10.1100,7.1200,1.4199
speed4,26170,10.3600,8.4400,1.2275
speed4,26209,8.1500,7.0000,1.1643
speed4,26335,8.1600,6.2900,1.2973
speed4,26968,10.1300,8.3400,1.2146
speed4,27047,8.6800,7.3100,1.1874
speed4,27108,9.5100,8.9300,1.0649
speed4,27225,8.5000,7.2900,1.1660
speed4,27242,10.4800,8.6300,1.2144
speed4,27351,8.5300,6.9200,1.2327
speed4,28024,10.7100,8.9800,1.1927
speed4,28047,8.8300,6.8400,1.2909
speed4,28180,10.3800,8.8500,1.1729
speed4,28241,8.8800,6.6600,1.3333
speed4,28314,10.5600,8.9900,1.1746
speed4,28367,8.9000,6.8600,1.2974
speed4,29047,9.2100,7.3600,1.2514
speed4,29080,11.2200,8.6700,1.2941
speed4,29252,11.4500,9.0000,1.2722
speed4,29257,9.2500,7.3300,1.2619
speed4,29383,9.3300,7.5100,1.2423
speed4,29386,11.4800,9.7500,1.1774
speed4,30136,11.1100,8.9100,1.2469
speed4,30273,9.4100,6.3000,1.4937
speed4,30324,11.6700,9.0100,1.2952
speed4,30399,9.7100,7.6700,1.2660
speed4,30458,11.4200,9.8200,1.1629
speed4,31192,11.7200,9.1300,1.2837
speed4,31289,10.0700,7.6800,1.3112
speed4,31396,11.9300,9.2800,1.2856
speed4,31415,12.1600,7.0300,1.7297
speed4,31530,11.9700,9.2400,1.2955
speed4,32305,12.7500,7.2100,1.7684
speed4,32431,12.5900,8.1000,1.5543
speed4,32468,12.2600,9.5900,1.2784
speed4,32602,12.2800,9.4900,1.2940
speed4,33321,11.0200,8.1500,1.3521
speed4,33447,11.1400,8.1600,1.3652
speed4,33540,12.3500,9.5000,1.3000
speed4,33674,12.6500,9.6100,1.3163
speed4,34337,11.3600,8.2800,1.3720
speed4,34463,11.2600,7.5500,1.4914
speed4,34612,12.6000,9.0300,1.3953
speed4,34746,12.7700,8.9400,1.4284
speed4,35353,13.7000,8.0600,1.6998
speed4,35684,13.2300,9.0400,1.4635
speed4,35818,13.5100,9.0500,1.4928
speed4,36369,14.2400,8.6500,1.6462
speed4,36756,13.9500,9.9000,1.4091
speed4,37385,14.6400,8.9100,1.6431
speed4,37828,14.4300,9.6100,1.5016
speed4,38401,15.1300,7.6500,1.9778
speed4,38900,15.0500,9.2100,1.6341
speed4,39972,15.7900,9.7500,1.6195
